q1,q2,q3,q4,q5,q6,q7,x,y,z
13,-50,15,144,-105,-60,-51,0.042,-0.023,0.934
-83,-112,-100,13,139,27,-151,0.131,-0.817,0.229
-38,-83,-116,42,117,4,-24,-0.013,0.101,0.567
-26,23,161,102,28,79,-138,-0.23,-0.373,0.173
-113,4,136,-2,-129,-68,66,-0.105,0.228,-0.076
-24,-72,100,130,-157,-40,4,0.51,0.016,0.284
-58,-17,160,97,145,102,38,0.243,-0.168,-0.008
-40,-101,158,20,-88,-42,21,-0.078,-0.36,0.819
-53,38,102,17,-91,92,149,-0.148,0.256,0.686
-135,30,108,97,1,-28,173,0.107,0.118,0.654
26,-95,-30,40,163,-17,-39,0.03,0.28,0.761
-92,-33,65,110,63,21,93,0.082,-0.209,0.647
-42,-45,-23,137,-164,-73,-80,0.021,-0.301,0.806
-21,-19,-17,26,78,18,-41,0.503,-0.299,0.936
11,-28,-64,82,54,-89,-175,-0.812,0.351,0.087
-116,38,57,97,-145,-22,-151,-0.477,0.093,0.622
-3,-76,-68,138,118,-65,-84,0.352,0.278,0.701
34,-49,-53,67,-95,-24,160,-0.752,0.177,0.229
-29,-29,-39,60,150,73,89,0.008,0.332,0.522
-84,-57,-35,92,119,32,-116,-0.071,-0.486,0.769
2,42,126,106,154,13,-5,0.815,0.032,0.022
-27,-113,122,139,-165,110,-121,-0.046,-0.047,0.935
-75,23,11,45,-139,55,-69,-0.179,-0.802,0.345
-104,-81,-95,115,-22,43,59,0.122,0.602,0.365
-128,41,-143,58,67,32,14,0.116,0.394,-0.508
-55,10,154,116,89,55,-83,-0.022,-0.048,-0.336
-7,-86,-60,90,-100,-29,-104,0.379,-0.113,0.094
-67,-5,-7,1,-95,-39,-29,0.033,0.949,0.396
-97,-4,79,10,33,43,144,-0.364,-0.373,-0.148
15,44,157,20,94,4,170,-0.101,0.232,0.993
-112,-98,-112,4,-22,75,-56,0.444,-0.327,0.497
-35,-29,-64,94,-101,-51,156,-0.443,0.746,-0.198
-44,50,-170,131,-64,-70,70,-0.519,0.114,0.788
18,21,-127,139,67,92,24,-0.293,-0.625,0.055
-110,-80,-141,120,-135,9,-70,-0.486,0.465,0.489
-60,36,-166,39,137,77,-16,0.601,0.183,-0.131
-10,-32,-116,5,68,38,115,-0.165,-0.334,1.029
-64,-89,18,96,139,21,106,-0.289,-0.266,0.432
-105,-111,-2,15,-166,-20,-150,-0.129,0.147,0.68
-96,3,19,108,-22,39,4,-0.54,0.325,-0.344
-92,-42,30,141,-104,-69,-99,0.025,0.139,0.844
38,10,154,3,-92,-39,-14,-0.222,0.149,-0.132
-43,-84,75,49,-142,-24,150,0.323,-0.12,-0.292
-71,-91,124,101,-98,-35,95,-0.502,0.341,0.164
-6,5,-152,130,53,-43,49,-0.227,-0.046,-0.108
44,-114,22,76,-79,-73,133,-0.393,-0.4,0.59
-130,-120,-41,105,-162,90,-128,0.012,0.158,0.837
-26,-103,112,82,83,46,-135,-0.695,-0.01,0.381
-45,-41,-78,20,100,95,-81,0.034,-0.896,0.037
19,-4,92,143,67,-23,-136,0.416,0.173,0.059
-31,2,-158,52,85,-50,-155,0.436,-0.715,0.453
-60,-91,-124,94,102,91,58,0.053,0.353,-0.291
-74,-113,-129,132,-157,65,36,-0.25,-0.094,0.948
-123,-20,54,68,-21,-16,152,0.096,-0.238,0.483
30,10,136,133,25,97,101,-0.404,-0.176,-0.137
-53,-96,11,45,141,-83,-83,-0.232,0.709,0.399
-122,-105,-167,129,12,71,-69,-0.443,-0.177,-0.145
-65,31,-123,38,-81,57,-97,0.353,0.471,1.031
-131,-57,-37,60,63,34,-127,0.256,-0.151,0.694
-88,-71,146,130,-27,-36,-69,-0.246,-0.054,0.709
-107,-17,143,7,-133,-69,0,0.496,-0.867,0.554
-125,24,-34,0,-51,116,-53,-0.406,-0.315,0.466
39,43,-148,131,105,-42,14,-0.272,-0.115,0.775
-21,45,-172,148,-73,91,-130,-0.102,-0.247,0.274
16,-44,118,51,-170,31,78,-0.221,0.337,1.19
-91,-82,-60,79,-100,35,-95,0.038,-0.298,0.706
-23,-1,100,89,143,-72,130,0.233,-0.257,0.804
-53,-104,-12,42,74,83,-32,-0.293,0.585,0.412
